date,trend
2019-06-01,31
2019-06-02,30
2019-06-03,32
2019-06-04,38
2019-06-05,32
2019-06-06,31
2019-06-07,32
2019-06-08,26
2019-06-09,26
2019-06-10,30
2019-06-11,29
2019-06-12,28
2019-06-13,29
2019-06-14,30
2019-06-15,32
2019-06-16,39
2019-06-17,41
2019-06-18,41
2019-06-19,35
2019-06-20,37
2019-06-21,46
2019-06-22,74
2019-06-23,50
2019-06-24,52
2019-06-25,61
2019-06-26,100
2019-06-27,86
2019-06-28,63
2019-06-29,50
2019-06-30,44
2019-07-01,52
2019-07-02,53
2019-07-03,46
2019-07-04,43
2019-07-05,41
2019-07-06,35
2019-07-07,33
2019-07-08,41
2019-07-09,46
2019-07-10,51
2019-07-11,46
2019-07-12,43
2019-07-13,38
2019-07-14,37
2019-07-15,47
2019-07-16,47
2019-07-17,49
2019-07-18,44
2019-07-19,40
2019-07-20,34
2019-07-21,31
2019-07-22,34
2019-07-23,35
2019-07-24,37
2019-07-25,35
2019-07-26,31
2019-07-27,32
2019-07-28,30
2019-07-29,35
2019-07-30,32
2019-07-31,33
