date,trend
2022-08-01,91
2022-08-02,87
2022-08-03,89
2022-08-04,84
2022-08-05,82
2022-08-06,71
2022-08-07,69
2022-08-08,85
2022-08-09,84
2022-08-10,82
2022-08-11,89
2022-08-12,80
2022-08-13,73
2022-08-14,75
2022-08-15,81
2022-08-16,77
2022-08-17,78
2022-08-18,71
2022-08-19,100
2022-08-20,80
2022-08-21,74
2022-08-22,80
2022-08-23,77
2022-08-24,73
2022-08-25,72
2022-08-26,80
2022-08-27,78
2022-08-28,76
2022-08-29,87
2022-08-30,82
2022-08-31,83
2022-09-01,78
2022-09-02,73
2022-09-03,64
2022-09-04,67
2022-09-05,72
2022-09-06,78
2022-09-07,88
2022-09-08,77
2022-09-09,83
2022-09-10,73
2022-09-11,65
2022-09-12,77
2022-09-13,85
2022-09-14,84
2022-09-15,80
2022-09-16,80
2022-09-17,68
2022-09-18,66
2022-09-19,94
2022-09-20,84
2022-09-21,88
2022-09-22,84
2022-09-23,82
2022-09-24,70
2022-09-25,70
2022-09-26,76
2022-09-27,83
2022-09-28,78
2022-09-29,67
2022-09-30,69
