date,trend
2020-02-01,27
2020-02-02,28
2020-02-03,27
2020-02-04,31
2020-02-05,31
2020-02-06,35
2020-02-07,32
2020-02-08,31
2020-02-09,40
2020-02-10,34
2020-02-11,37
2020-02-12,41
2020-02-13,36
2020-02-14,32
2020-02-15,33
2020-02-16,32
2020-02-17,34
2020-02-18,33
2020-02-19,35
2020-02-20,34
2020-02-21,33
2020-02-22,26
2020-02-23,28
2020-02-24,32
2020-02-25,32
2020-02-26,35
2020-02-27,35
2020-02-28,35
2020-02-29,30
2020-03-01,28
2020-03-02,32
2020-03-03,30
2020-03-04,31
2020-03-05,32
2020-03-06,30
2020-03-07,26
2020-03-08,29
2020-03-09,52
2020-03-10,41
2020-03-11,34
2020-03-12,71
2020-03-13,100
2020-03-14,63
2020-03-15,54
2020-03-16,69
2020-03-17,58
2020-03-18,54
2020-03-19,57
2020-03-20,61
2020-03-21,50
2020-03-22,44
2020-03-23,48
2020-03-24,48
2020-03-25,43
2020-03-26,39
2020-03-27,40
2020-03-28,40
2020-03-29,39
2020-03-30,39
2020-03-31,35
