date,trend
2019-10-01,66
2019-10-02,59
2019-10-03,60
2019-10-04,55
2019-10-05,48
2019-10-06,51
2019-10-07,59
2019-10-08,57
2019-10-09,58
2019-10-10,63
2019-10-11,53
2019-10-12,45
2019-10-13,47
2019-10-14,51
2019-10-15,53
2019-10-16,54
2019-10-17,52
2019-10-18,54
2019-10-19,46
2019-10-20,46
2019-10-21,51
2019-10-22,51
2019-10-23,67
2019-10-24,62
2019-10-25,69
2019-10-26,100
2019-10-27,66
2019-10-28,69
2019-10-29,67
2019-10-30,60
2019-10-31,57
2019-11-01,56
2019-11-02,49
2019-11-03,48
2019-11-04,56
2019-11-05,58
2019-11-06,55
2019-11-07,54
2019-11-08,58
2019-11-09,49
2019-11-10,48
2019-11-11,51
2019-11-12,53
2019-11-13,52
2019-11-14,46
2019-11-15,50
2019-11-16,45
2019-11-17,46
2019-11-18,51
2019-11-19,54
2019-11-20,52
2019-11-21,62
2019-11-22,75
2019-11-23,58
2019-11-24,56
2019-11-25,76
2019-11-26,67
2019-11-27,62
2019-11-28,56
2019-11-29,53
2019-11-30,50
