date,trend
2023-08-01,61
2023-08-02,63
2023-08-03,61
2023-08-04,62
2023-08-05,59
2023-08-06,58
2023-08-07,60
2023-08-08,63
2023-08-09,64
2023-08-10,61
2023-08-11,60
2023-08-12,54
2023-08-13,55
2023-08-14,60
2023-08-15,62
2023-08-16,62
2023-08-17,77
2023-08-18,100
2023-08-19,75
2023-08-20,64
2023-08-21,65
2023-08-22,70
2023-08-23,66
2023-08-24,64
2023-08-25,64
2023-08-26,56
2023-08-27,58
2023-08-28,60
2023-08-29,73
2023-08-30,69
2023-08-31,64
2023-09-01,65
2023-09-02,57
2023-09-03,52
2023-09-04,57
2023-09-05,59
2023-09-06,58
2023-09-07,60
2023-09-08,58
2023-09-09,55
2023-09-10,53
2023-09-11,60
2023-09-12,59
2023-09-13,57
2023-09-14,54
2023-09-15,53
2023-09-16,51
2023-09-17,50
2023-09-18,60
2023-09-19,57
2023-09-20,54
2023-09-21,59
2023-09-22,55
2023-09-23,49
2023-09-24,48
2023-09-25,53
2023-09-26,52
2023-09-27,54
2023-09-28,53
2023-09-29,52
2023-09-30,49
