date,trend
2023-04-01,67
2023-04-02,65
2023-04-03,74
2023-04-04,69
2023-04-05,69
2023-04-06,67
2023-04-07,65
2023-04-08,60
2023-04-09,56
2023-04-10,68
2023-04-11,100
2023-04-12,84
2023-04-13,77
2023-04-14,82
2023-04-15,71
2023-04-16,66
2023-04-17,71
2023-04-18,71
2023-04-19,76
2023-04-20,72
2023-04-21,75
2023-04-22,66
2023-04-23,61
2023-04-24,71
2023-04-25,69
2023-04-26,76
2023-04-27,68
2023-04-28,67
2023-04-29,60
2023-04-30,56
2023-05-01,64
2023-05-02,64
2023-05-03,66
2023-05-04,64
2023-05-05,62
2023-05-06,59
2023-05-07,59
2023-05-08,74
2023-05-09,65
2023-05-10,65
2023-05-11,65
2023-05-12,65
2023-05-13,55
2023-05-14,49
2023-05-15,56
2023-05-16,55
2023-05-17,56
2023-05-18,56
2023-05-19,56
2023-05-20,51
2023-05-21,52
2023-05-22,58
2023-05-23,56
2023-05-24,55
2023-05-25,58
2023-05-26,57
2023-05-27,49
2023-05-28,51
2023-05-29,57
2023-05-30,53
2023-05-31,56
