date,trend
2022-09-01,84
2022-09-02,78
2022-09-03,68
2022-09-04,72
2022-09-05,77
2022-09-06,83
2022-09-07,93
2022-09-08,82
2022-09-09,89
2022-09-10,77
2022-09-11,70
2022-09-12,82
2022-09-13,91
2022-09-14,90
2022-09-15,85
2022-09-16,85
2022-09-17,73
2022-09-18,70
2022-09-19,100
2022-09-20,89
2022-09-21,94
2022-09-22,90
2022-09-23,87
2022-09-24,74
2022-09-25,74
2022-09-26,81
2022-09-27,89
2022-09-28,84
2022-09-29,72
2022-09-30,73
2022-10-01,63
2022-10-02,64
2022-10-03,74
2022-10-04,76
2022-10-05,71
2022-10-06,70
2022-10-07,71
2022-10-08,61
2022-10-09,61
2022-10-10,69
2022-10-11,71
2022-10-12,65
2022-10-13,73
2022-10-14,72
2022-10-15,59
2022-10-16,57
2022-10-17,65
2022-10-18,67
2022-10-19,65
2022-10-20,64
2022-10-21,65
2022-10-22,55
2022-10-23,54
2022-10-24,65
2022-10-25,69
2022-10-26,75
2022-10-27,75
2022-10-28,70
2022-10-29,62
2022-10-30,60
2022-10-31,68
