date,trend
2020-10-01,28
2020-10-02,28
2020-10-03,26
2020-10-04,25
2020-10-05,28
2020-10-06,28
2020-10-07,27
2020-10-08,28
2020-10-09,30
2020-10-10,31
2020-10-11,29
2020-10-12,33
2020-10-13,31
2020-10-14,31
2020-10-15,32
2020-10-16,31
2020-10-17,28
2020-10-18,28
2020-10-19,32
2020-10-20,36
2020-10-21,52
2020-10-22,58
2020-10-23,48
2020-10-24,41
2020-10-25,40
2020-10-26,43
2020-10-27,51
2020-10-28,54
2020-10-29,44
2020-10-30,41
2020-10-31,45
2020-11-01,43
2020-11-02,43
2020-11-03,42
2020-11-04,40
2020-11-05,60
2020-11-06,65
2020-11-07,53
2020-11-08,49
2020-11-09,52
2020-11-10,45
2020-11-11,46
2020-11-12,54
2020-11-13,61
2020-11-14,48
2020-11-15,44
2020-11-16,55
2020-11-17,78
2020-11-18,93
2020-11-19,73
2020-11-20,78
2020-11-21,76
2020-11-22,68
2020-11-23,73
2020-11-24,94
2020-11-25,87
2020-11-26,100
2020-11-27,73
2020-11-28,63
2020-11-29,57
2020-11-30,78
