date,trend
2021-02-01,40
2021-02-02,35
2021-02-03,36
2021-02-04,38
2021-02-05,36
2021-02-06,43
2021-02-07,38
2021-02-08,87
2021-02-09,100
2021-02-10,65
2021-02-11,62
2021-02-12,57
2021-02-13,49
2021-02-14,54
2021-02-15,54
2021-02-16,60
2021-02-17,71
2021-02-18,62
2021-02-19,69
2021-02-20,76
2021-02-21,69
2021-02-22,76
2021-02-23,95
2021-02-24,72
2021-02-25,60
2021-02-26,63
2021-02-27,49
2021-02-28,53
2021-03-01,51
2021-03-02,47
2021-03-03,46
2021-03-04,42
2021-03-05,42
2021-03-06,37
2021-03-07,38
2021-03-08,42
2021-03-09,48
2021-03-10,48
2021-03-11,45
2021-03-12,44
2021-03-13,57
2021-03-14,55
2021-03-15,48
2021-03-16,46
2021-03-17,44
2021-03-18,43
2021-03-19,39
2021-03-20,36
2021-03-21,36
2021-03-22,38
2021-03-23,40
2021-03-24,44
2021-03-25,47
2021-03-26,38
2021-03-27,37
2021-03-28,34
2021-03-29,38
2021-03-30,43
2021-03-31,39
