date,trend
2021-04-01,30
2021-04-02,27
2021-04-03,25
2021-04-04,24
2021-04-05,26
2021-04-06,25
2021-04-07,25
2021-04-08,23
2021-04-09,22
2021-04-10,25
2021-04-11,25
2021-04-12,25
2021-04-13,33
2021-04-14,37
2021-04-15,31
2021-04-16,33
2021-04-17,28
2021-04-18,50
2021-04-19,40
2021-04-20,33
2021-04-21,30
2021-04-22,33
2021-04-23,53
2021-04-24,36
2021-04-25,32
2021-04-26,33
2021-04-27,32
2021-04-28,30
2021-04-29,28
2021-04-30,27
2021-05-01,25
2021-05-02,23
2021-05-03,26
2021-05-04,27
2021-05-05,28
2021-05-06,26
2021-05-07,24
2021-05-08,25
2021-05-09,25
2021-05-10,27
2021-05-11,25
2021-05-12,26
2021-05-13,64
2021-05-14,42
2021-05-15,32
2021-05-16,35
2021-05-17,49
2021-05-18,38
2021-05-19,100
2021-05-20,74
2021-05-21,53
2021-05-22,49
2021-05-23,57
2021-05-24,54
2021-05-25,44
2021-05-26,38
2021-05-27,33
2021-05-28,37
2021-05-29,34
2021-05-30,32
2021-05-31,30
