date,trend
2022-12-01,72
2022-12-02,65
2022-12-03,59
2022-12-04,59
2022-12-05,64
2022-12-06,65
2022-12-07,67
2022-12-08,69
2022-12-09,59
2022-12-10,51
2022-12-11,57
2022-12-12,64
2022-12-13,74
2022-12-14,75
2022-12-15,69
2022-12-16,70
2022-12-17,63
2022-12-18,57
2022-12-19,64
2022-12-20,60
2022-12-21,66
2022-12-22,64
2022-12-23,60
2022-12-24,56
2022-12-25,56
2022-12-26,59
2022-12-27,61
2022-12-28,63
2022-12-29,57
2022-12-30,64
2022-12-31,56
2023-01-01,58
2023-01-02,65
2023-01-03,61
2023-01-04,63
2023-01-05,60
2023-01-06,60
2023-01-07,53
2023-01-08,51
2023-01-09,62
2023-01-10,62
2023-01-11,61
2023-01-12,75
2023-01-13,79
2023-01-14,100
2023-01-15,78
2023-01-16,89
2023-01-17,84
2023-01-18,79
2023-01-19,74
2023-01-20,76
2023-01-21,86
2023-01-22,79
2023-01-23,81
2023-01-24,78
2023-01-25,71
2023-01-26,79
2023-01-27,70
2023-01-28,64
2023-01-29,70
2023-01-30,73
2023-01-31,75
