date,trend
2020-08-01,99
2020-08-02,100
2020-08-03,85
2020-08-04,75
2020-08-05,80
2020-08-06,83
2020-08-07,77
2020-08-08,71
2020-08-09,71
2020-08-10,80
2020-08-11,78
2020-08-12,74
2020-08-13,73
2020-08-14,69
2020-08-15,67
2020-08-16,71
2020-08-17,84
2020-08-18,81
2020-08-19,71
2020-08-20,68
2020-08-21,68
2020-08-22,65
2020-08-23,61
2020-08-24,62
2020-08-25,65
2020-08-26,61
2020-08-27,60
2020-08-28,56
2020-08-29,52
2020-08-30,54
2020-08-31,54
2020-09-01,64
2020-09-02,63
2020-09-03,72
2020-09-04,77
2020-09-05,69
2020-09-06,66
2020-09-07,66
2020-09-08,65
2020-09-09,60
2020-09-10,59
2020-09-11,52
2020-09-12,54
2020-09-13,52
2020-09-14,56
2020-09-15,59
2020-09-16,57
2020-09-17,54
2020-09-18,51
2020-09-19,48
2020-09-20,49
2020-09-21,54
2020-09-22,53
2020-09-23,50
2020-09-24,50
2020-09-25,49
2020-09-26,47
2020-09-27,44
2020-09-28,48
2020-09-29,50
2020-09-30,46
