date,trend
2024-05-01,100
2024-05-02,80
2024-05-03,77
2024-05-04,67
2024-05-05,64
2024-05-06,69
2024-05-07,66
2024-05-08,65
2024-05-09,60
2024-05-10,63
2024-05-11,58
2024-05-12,55
2024-05-13,63
2024-05-14,62
2024-05-15,68
2024-05-16,69
2024-05-17,70
2024-05-18,59
2024-05-19,55
2024-05-20,73
2024-05-21,87
2024-05-22,74
2024-05-23,70
2024-05-24,68
2024-05-25,55
2024-05-26,56
2024-05-27,62
2024-05-28,64
2024-05-29,59
2024-05-30,59
2024-05-31,57
2024-06-01,50
2024-06-02,51
2024-06-03,60
2024-06-04,62
2024-06-05,73
2024-06-06,67
2024-06-07,69
2024-06-08,58
2024-06-09,54
2024-06-10,59
2024-06-11,66
2024-06-12,64
2024-06-13,59
2024-06-14,60
2024-06-15,53
2024-06-16,52
2024-06-17,59
2024-06-18,64
2024-06-19,57
2024-06-20,57
2024-06-21,56
2024-06-22,48
2024-06-23,48
2024-06-24,75
2024-06-25,66
2024-06-26,58
2024-06-27,55
2024-06-28,54
2024-06-29,46
2024-06-30,48
