date,trend
2023-10-01,37
2023-10-02,46
2023-10-03,39
2023-10-04,38
2023-10-05,37
2023-10-06,37
2023-10-07,35
2023-10-08,37
2023-10-09,40
2023-10-10,39
2023-10-11,39
2023-10-12,39
2023-10-13,36
2023-10-14,35
2023-10-15,35
2023-10-16,46
2023-10-17,47
2023-10-18,43
2023-10-19,41
2023-10-20,50
2023-10-21,46
2023-10-22,43
2023-10-23,59
2023-10-24,100
2023-10-25,76
2023-10-26,62
2023-10-27,54
2023-10-28,50
2023-10-29,46
2023-10-30,52
2023-10-31,48
2023-11-01,52
2023-11-02,59
2023-11-03,53
2023-11-04,45
2023-11-05,48
2023-11-06,49
2023-11-07,51
2023-11-08,50
2023-11-09,70
2023-11-10,63
2023-11-11,55
2023-11-12,50
2023-11-13,55
2023-11-14,57
2023-11-15,55
2023-11-16,56
2023-11-17,51
2023-11-18,47
2023-11-19,44
2023-11-20,52
2023-11-21,51
2023-11-22,54
2023-11-23,47
2023-11-24,51
2023-11-25,46
2023-11-26,43
2023-11-27,46
2023-11-28,45
2023-11-29,47
2023-11-30,47
