date,trend
2019-11-01,75
2019-11-02,65
2019-11-03,63
2019-11-04,74
2019-11-05,77
2019-11-06,72
2019-11-07,71
2019-11-08,76
2019-11-09,65
2019-11-10,63
2019-11-11,68
2019-11-12,70
2019-11-13,68
2019-11-14,61
2019-11-15,66
2019-11-16,59
2019-11-17,61
2019-11-18,67
2019-11-19,72
2019-11-20,68
2019-11-21,82
2019-11-22,99
2019-11-23,76
2019-11-24,73
2019-11-25,100
2019-11-26,88
2019-11-27,82
2019-11-28,74
2019-11-29,70
2019-11-30,66
2019-12-01,64
2019-12-02,71
2019-12-03,69
2019-12-04,73
2019-12-05,69
2019-12-06,63
2019-12-07,60
2019-12-08,58
2019-12-09,62
2019-12-10,64
2019-12-11,66
2019-12-12,66
2019-12-13,63
2019-12-14,66
2019-12-15,60
2019-12-16,69
2019-12-17,85
2019-12-18,82
2019-12-19,77
2019-12-20,67
2019-12-21,61
2019-12-22,63
2019-12-23,73
2019-12-24,66
2019-12-25,63
2019-12-26,64
2019-12-27,63
2019-12-28,62
2019-12-29,65
2019-12-30,65
2019-12-31,59
