date,trend
2022-01-01,20
2022-01-02,20
2022-01-03,20
2022-01-04,38
2022-01-05,19
2022-01-06,27
2022-01-07,33
2022-01-08,30
2022-01-09,26
2022-01-10,28
2022-01-11,28
2022-01-12,24
2022-01-13,48
2022-01-14,19
2022-01-15,19
2022-01-16,16
2022-01-17,17
2022-01-18,19
2022-01-19,19
2022-01-20,19
2022-01-21,40
2022-01-22,51
2022-01-23,37
2022-01-24,100
2022-01-25,32
2022-01-26,29
2022-01-27,27
2022-01-28,28
2022-01-29,25
2022-01-30,24
2022-01-31,25
2022-02-01,26
2022-02-02,24
2022-02-03,24
2022-02-04,27
2022-02-05,25
2022-02-06,22
2022-02-07,27
2022-02-08,25
2022-02-09,25
2022-02-10,20
2022-02-11,22
2022-02-12,20
2022-02-13,18
2022-02-14,20
2022-02-15,21
2022-02-16,19
2022-02-17,20
2022-02-18,21
2022-02-19,19
2022-02-20,21
2022-02-21,23
2022-02-22,25
2022-02-23,20
2022-02-24,42
2022-02-25,29
2022-02-26,22
2022-02-27,22
2022-02-28,26
