date,trend
2021-09-01,47
2021-09-02,49
2021-09-03,50
2021-09-04,44
2021-09-05,46
2021-09-06,54
2021-09-07,87
2021-09-08,80
2021-09-09,60
2021-09-10,52
2021-09-11,46
2021-09-12,43
2021-09-13,48
2021-09-14,45
2021-09-15,47
2021-09-16,46
2021-09-17,43
2021-09-18,42
2021-09-19,39
2021-09-20,58
2021-09-21,61
2021-09-22,54
2021-09-23,48
2021-09-24,72
2021-09-25,52
2021-09-26,45
2021-09-27,45
2021-09-28,45
2021-09-29,44
2021-09-30,44
2021-10-01,53
2021-10-02,48
2021-10-03,44
2021-10-04,49
2021-10-05,55
2021-10-06,71
2021-10-07,62
2021-10-08,53
2021-10-09,51
2021-10-10,47
2021-10-11,60
2021-10-12,59
2021-10-13,53
2021-10-14,58
2021-10-15,76
2021-10-16,70
2021-10-17,60
2021-10-18,72
2021-10-19,79
2021-10-20,100
2021-10-21,94
2021-10-22,79
2021-10-23,60
2021-10-24,54
2021-10-25,62
2021-10-26,67
2021-10-27,71
2021-10-28,64
2021-10-29,60
2021-10-30,51
2021-10-31,50
