date,trend
2024-01-01,32
2024-01-02,49
2024-01-03,55
2024-01-04,45
2024-01-05,45
2024-01-06,37
2024-01-07,37
2024-01-08,49
2024-01-09,58
2024-01-10,88
2024-01-11,94
2024-01-12,59
2024-01-13,46
2024-01-14,38
2024-01-15,42
2024-01-16,39
2024-01-17,35
2024-01-18,38
2024-01-19,37
2024-01-20,30
2024-01-21,29
2024-01-22,37
2024-01-23,42
2024-01-24,35
2024-01-25,32
2024-01-26,32
2024-01-27,26
2024-01-28,26
2024-01-29,28
2024-01-30,31
2024-01-31,29
2024-02-01,26
2024-02-02,27
2024-02-03,24
2024-02-04,25
2024-02-05,26
2024-02-06,27
2024-02-07,26
2024-02-08,32
2024-02-09,39
2024-02-10,30
2024-02-11,33
2024-02-12,44
2024-02-13,47
2024-02-14,48
2024-02-15,50
2024-02-16,41
2024-02-17,36
2024-02-18,34
2024-02-19,36
2024-02-20,37
2024-02-21,34
2024-02-22,35
2024-02-23,32
2024-02-24,29
2024-02-25,29
2024-02-26,38
2024-02-27,62
2024-02-28,100
2024-02-29,87
