date,trend
2019-07-01,95
2019-07-02,100
2019-07-03,88
2019-07-04,83
2019-07-05,78
2019-07-06,65
2019-07-07,63
2019-07-08,79
2019-07-09,90
2019-07-10,98
2019-07-11,88
2019-07-12,82
2019-07-13,69
2019-07-14,73
2019-07-15,90
2019-07-16,91
2019-07-17,93
2019-07-18,83
2019-07-19,75
2019-07-20,63
2019-07-21,62
2019-07-22,66
2019-07-23,67
2019-07-24,70
2019-07-25,67
2019-07-26,62
2019-07-27,62
2019-07-28,58
2019-07-29,64
2019-07-30,62
2019-07-31,64
2019-08-01,65
2019-08-02,66
2019-08-03,60
2019-08-04,57
2019-08-05,84
2019-08-06,87
2019-08-07,79
2019-08-08,72
2019-08-09,66
2019-08-10,60
2019-08-11,57
2019-08-12,63
2019-08-13,66
2019-08-14,73
2019-08-15,76
2019-08-16,62
2019-08-17,55
2019-08-18,54
2019-08-19,58
2019-08-20,62
2019-08-21,65
2019-08-22,60
2019-08-23,59
2019-08-24,53
2019-08-25,50
2019-08-26,58
2019-08-27,59
2019-08-28,61
2019-08-29,61
2019-08-30,57
2019-08-31,47
