date,trend
2022-04-01,34
2022-04-02,29
2022-04-03,28
2022-04-04,30
2022-04-05,29
2022-04-06,34
2022-04-07,32
2022-04-08,30
2022-04-09,27
2022-04-10,26
2022-04-11,35
2022-04-12,33
2022-04-13,31
2022-04-14,29
2022-04-15,29
2022-04-16,24
2022-04-17,24
2022-04-18,29
2022-04-19,28
2022-04-20,26
2022-04-21,27
2022-04-22,27
2022-04-23,24
2022-04-24,25
2022-04-25,30
2022-04-26,29
2022-04-27,28
2022-04-28,28
2022-04-29,28
2022-04-30,26
2022-05-01,26
2022-05-02,26
2022-05-03,28
2022-05-04,26
2022-05-05,32
2022-05-06,35
2022-05-07,27
2022-05-08,33
2022-05-09,57
2022-05-10,57
2022-05-11,68
2022-05-12,100
2022-05-13,77
2022-05-14,58
2022-05-15,47
2022-05-16,48
2022-05-17,45
2022-05-18,45
2022-05-19,43
2022-05-20,39
2022-05-21,35
2022-05-22,34
2022-05-23,38
2022-05-24,37
2022-05-25,34
2022-05-26,34
2022-05-27,37
2022-05-28,31
2022-05-29,28
2022-05-30,35
2022-05-31,37
