date,trend
2019-03-01,37
2019-03-02,35
2019-03-03,35
2019-03-04,40
2019-03-05,40
2019-03-06,40
2019-03-07,39
2019-03-08,38
2019-03-09,38
2019-03-10,37
2019-03-11,41
2019-03-12,40
2019-03-13,37
2019-03-14,35
2019-03-15,36
2019-03-16,37
2019-03-17,34
2019-03-18,37
2019-03-19,41
2019-03-20,41
2019-03-21,42
2019-03-22,37
2019-03-23,36
2019-03-24,33
2019-03-25,37
2019-03-26,37
2019-03-27,42
2019-03-28,38
2019-03-29,40
2019-03-30,36
2019-03-31,33
2019-04-01,42
2019-04-02,96
2019-04-03,100
2019-04-04,75
2019-04-05,57
2019-04-06,52
2019-04-07,53
2019-04-08,59
2019-04-09,56
2019-04-10,57
2019-04-11,56
2019-04-12,51
2019-04-13,43
2019-04-14,38
2019-04-15,48
2019-04-16,48
2019-04-17,51
2019-04-18,49
2019-04-19,46
2019-04-20,45
2019-04-21,43
2019-04-22,47
2019-04-23,61
2019-04-24,56
2019-04-25,54
2019-04-26,53
2019-04-27,43
2019-04-28,39
2019-04-29,41
2019-04-30,44
