date,trend
2022-10-01,33
2022-10-02,33
2022-10-03,39
2022-10-04,40
2022-10-05,37
2022-10-06,37
2022-10-07,37
2022-10-08,32
2022-10-09,32
2022-10-10,36
2022-10-11,37
2022-10-12,34
2022-10-13,38
2022-10-14,38
2022-10-15,31
2022-10-16,30
2022-10-17,34
2022-10-18,35
2022-10-19,34
2022-10-20,33
2022-10-21,34
2022-10-22,29
2022-10-23,28
2022-10-24,34
2022-10-25,36
2022-10-26,39
2022-10-27,39
2022-10-28,36
2022-10-29,32
2022-10-30,32
2022-10-31,36
2022-11-01,33
2022-11-02,34
2022-11-03,34
2022-11-04,35
2022-11-05,34
2022-11-06,31
2022-11-07,35
2022-11-08,53
2022-11-09,87
2022-11-10,100
2022-11-11,79
2022-11-12,72
2022-11-13,69
2022-11-14,80
2022-11-15,64
2022-11-16,62
2022-11-17,57
2022-11-18,53
2022-11-19,45
2022-11-20,45
2022-11-21,58
2022-11-22,55
2022-11-23,49
2022-11-24,43
2022-11-25,43
2022-11-26,36
2022-11-27,36
2022-11-28,46
2022-11-29,42
2022-11-30,43
